disease,symptoms
"Mono, also known asMononucleosis","Fatigue, Sore throat, perhaps misdiagnosed as strep throat, that doesn't get better after treatment with antibiotics, Fever, Swollen lymph nodes in your neck and armpits, Swollen tonsils, Headache, Skin rash, Soft, swollen spleen"
Monoclonal gammopathy of undetermined significance (MGUS),"Age. The average age at diagnosis is 70 years., Race. Africans and African Americans are more likely to experience MGUS than are white people., Sex. MGUS is more common in men., Family history. You may have a higher risk of MGUS if other people in your family have the condition."
Mononucleosis,"Fatigue, Sore throat, perhaps misdiagnosed as strep throat, that doesn't get better after treatment with antibiotics, Fever, Swollen lymph nodes in your neck and armpits, Swollen tonsils, Headache, Skin rash, Soft, swollen spleen"
Morning sickness,"You produce no urine or only a little urine that's a dark color, You can't keep liquids down, You feel dizzy or faint when you stand up, Your heart races"
Morphea,"Reddish or purplish oval patches of skin, often on the belly, chest or back, Patches that gradually develop a lighter or whitish center, Linear patches, especially on the arms or legs and possibly the forehead or scalp, A gradual change in the affected skin, which becomes firm, thickened, dry and shiny"
Morton's neuroma,"A feeling as if you're standing on a pebble in your shoe, A burning pain in the ball of your foot that may radiate into your toes, Tingling or numbness in your toes"
Mosquito bites,"An itchy, inflamed bump that forms a few minutes after a bite, A painful spot that looks like a hive and forms within 24 hours after a bite, Small blisters"
Mouth cancer,"A lip or mouth sore that doesn't heal, A white or reddish patch on the inside of your mouth, Loose teeth, A growth or lump inside your mouth, Mouth pain, Ear pain, Difficult or painful swallowing"
MRSA infection,"Warm to the touch, Full of pus or other drainage, Accompanied by a fever"
"MS, also known asMultiple sclerosis","Numbness or weakness in one or more limbs that typically occurs on one side of your body at a time, Tingling, Electric-shock sensations that occur with certain neck movements, especially bending the neck forward (Lhermitte sign), Lack of coordination, Unsteady gait or inability to walk, Partial or complete loss of vision, usually in one eye at a time, often with pain during eye movement, Prolonged double vision, Blurry vision, Vertigo, Problems with sexual, bowel and bladder function, Fatigue, Slurred speech, Cognitive problems, Mood disturbances"
"MSA, also known asMultiple system atrophy (MSA)","Stiff muscles, Difficulty bending your arms and legs, Slow movement (bradykinesia), Tremors can occur at rest or when moving your arms or legs, Soft voice, Problems with posture and balance"
"Mucocutaneous lymph node syndrome, also known asKawasaki disease","A rash on the main part of the body or in the genital area, An enlarged lymph node in the neck, Extremely red eyes without a thick discharge, Red, dry, cracked lips and an extremely red, swollen tongue, Swollen, red skin on the palms of the hands and the soles of the feet, with later peeling of skin on fingers and toes"
Multiple myeloma,"Bone pain, especially in your spine or chest, Nausea, Constipation, Loss of appetite, Mental fogginess or confusion, Fatigue, Frequent infections, Weight loss, Weakness or numbness in your legs, Excessive thirst"
Multiple sclerosis,"Numbness or weakness in one or more limbs that typically occurs on one side of your body at a time, Tingling, Electric-shock sensations that occur with certain neck movements, especially bending the neck forward (Lhermitte sign), Lack of coordination, Unsteady gait or inability to walk, Partial or complete loss of vision, usually in one eye at a time, often with pain during eye movement, Prolonged double vision, Blurry vision, Vertigo, Problems with sexual, bowel and bladder function, Fatigue, Slurred speech, Cognitive problems, Mood disturbances"
Multiple system atrophy (MSA),"Stiff muscles, Difficulty bending your arms and legs, Slow movement (bradykinesia), Tremors can occur at rest or when moving your arms or legs, Soft voice, Problems with posture and balance"
Multisystem inflammatory syndrome in children (MIS-C),"Either had COVID-19 or has a close contact who had COVID-19 in the 2 months before hospitalization., Has a fever., Has a blood test result that shows a high level of inflammation throughout the body, called systemic inflammation., Has at least two of the following symptoms:, Heart problems., Red, bloodshot eyes., Redness or swelling of the lips and tongue., Redness or swelling of the hands or feet., Pain in the belly, vomiting or diarrhea., Problems with blood clotting., Shock."
Mumps,"Fever., Headache., Muscle aches or pain., Not wanting to eat., Tiredness."
Muscle cramp,"Cause severe discomfort., Have leg swelling, redness or skin changes., Come with muscle weakness., Happen often., Don't get better with self-care."
Muscle strains,"Pain or tenderness, Redness or bruising, Limited motion, Muscle spasms, Swelling, Muscle weakness"
Muscular dystrophy,"Frequent falls, Difficulty rising from a lying or sitting position, Trouble running and jumping, Waddling gait, Walking on the toes, Large calf muscles, Muscle pain and stiffness, Learning disabilities, Delayed growth"
"Myalgic encephalomyelitis, also known asChronic fatigue syndrome","Extreme exhaustion after physical or mental exercise., Problems with memory or thinking skills., Dizziness that worsens with moving from lying down or sitting to standing., Muscle or joint pain., Unrefreshing sleep."
"Myalgic encephalomyelitis/Chronic fatigue syndrome, also known asChronic fatigue syndrome","Extreme exhaustion after physical or mental exercise., Problems with memory or thinking skills., Dizziness that worsens with moving from lying down or sitting to standing., Muscle or joint pain., Unrefreshing sleep."
Myasthenia gravis,"Drooping of one or both eyelids (ptosis), Double vision (diplopia), which may be horizontal or vertical, and improves or resolves when one eye is closed"
Myelodysplastic syndromes,"Fatigue, Shortness of breath, Unusual paleness (pallor), which occurs due to a low red blood cell count (anemia), Easy or unusual bruising or bleeding, which occurs due to a low blood platelet count (thrombocytopenia), Pinpoint-sized red spots just beneath the skin that are caused by bleeding (petechiae), Frequent infections, which occur due to a low white blood cell count (leukopenia)"
Myelofibrosis,"Feeling tired, weak or short of breath, usually because of anemia, Pain or fullness below your ribs on the left side, due to an enlarged spleen, Easy bruising, Easy bleeding, Excessive sweating during sleep (night sweats), Fever, Bone pain"
"Myocardial infarction, also known asHeart attack","Chest pain that may feel like pressure, tightness, pain, squeezing or aching, Pain or discomfort that spreads to the shoulder, arm, back, neck, jaw, teeth or sometimes the upper belly, Cold sweat, Fatigue, Heartburn or indigestion, Lightheadedness or sudden dizziness, Nausea, Shortness of breath"
Myocardial ischemia,"Neck or jaw pain, Shoulder or arm pain, A fast heartbeat, Shortness of breath when you are physically active, Nausea and vomiting, Sweating, Fatigue"
Myocarditis,"Chest pain, Fatigue, Swelling of the legs, ankles and feet, Rapid or irregular heartbeat (arrhythmias), Shortness of breath, at rest or during activity, Light-headedness or feeling like you might faint, Flu-like symptoms such as headache, body aches, joint pain, fever or sore throat"
Myoclonus,"Sudden, Brief, Involuntary, Shock-like, Variable in intensity and frequency, Occurring in one part of the body or all over the body, Sometimes severe enough to interfere with eating, speaking or walking"
Myofascial pain syndrome,"Deep, aching pain in a muscle, Pain that persists or worsens, A tender knot in a muscle, Difficulty sleeping due to pain"
"Myopia, also known asNearsightedness","Blurry vision when looking at distant objects, The need to squint or partially close the eyelids to see clearly, Headaches, Eyestrain"
Nail fungus,"Thickened, Discolored, Brittle, crumbly or ragged, Misshapen, Separated from the nail bed, Smelly"
Narcissistic personality disorder,"Have an unreasonably high sense of self-importance and require constant, excessive admiration., Feel that they deserve privileges and special treatment., Expect to be recognized as superior even without achievements., Make achievements and talents seem bigger than they are., Be preoccupied with fantasies about success, power, brilliance, beauty or the perfect mate., Believe they are superior to others and can only spend time with or be understood by equally special people., Be critical of and look down on people they feel are not important., Expect special favors and expect other people to do what they want without questioning them., Take advantage of others to get what they want., Have an inability or unwillingness to recognize the needs and feelings of others., Be envious of others and believe others envy them., Behave in an arrogant way, brag a lot and come across as conceited., Insist on having the best of everything — for instance, the best car or office."
Narcolepsy,"Excessive daytime sleepiness. People with narcolepsy fall asleep without warning. It can happen anywhere and at any time. It may happen when you're bored or during a task. For example, you may be working or talking with friends and suddenly fall asleep. It can be especially dangerous if you fall asleep while driving. You might fall asleep for only a few minutes or up to a half-hour. After waking, you'll often feel refreshed but you'll get sleepy again.
You also may experience a decrease in how alert and focused you feel during the day. Daytime sleepiness often is the first symptom to appear. Feeling sleepy makes it hard to focus and function.
Some people with narcolepsy continue doing a task when they fall asleep briefly. For example, you may fall asleep while writing, typing or driving. You might continue to perform that task while asleep. When you awaken, you can't remember what you did, and you probably didn't do it well., Sudden loss of muscle tone. This condition is called cataplexy. It can cause slurred speech or complete weakness of most muscles. Symptoms may last up to a few minutes.
Cataplexy can't be controlled. It's triggered by intense emotions. Often the emotions that cause cataplexy are positive. Laughter or excitement may cause the symptoms. But sometimes fear, surprise or anger can cause the loss of muscle tone. For example, when you laugh, your head may drop without your control. Or your knees may suddenly lose strength, causing you to fall.
Some people with narcolepsy experience only one or two episodes of cataplexy a year. Others have several episodes a day. Not everyone with narcolepsy has these symptoms., Sleep paralysis. People with narcolepsy often experience sleep paralysis. During sleep paralysis, you can't move or speak while falling asleep or upon waking. It's usually brief — lasting a few seconds or minutes. But it can be scary. You may be aware of it happening and can recall it afterward.
Not everyone with sleep paralysis has narcolepsy., Hallucinations. Sometimes people see things that aren't there during sleep paralysis. Hallucinations also may happen in bed without sleep paralysis. These are called hypnagogic hallucinations if they happen as you fall asleep. They're called hypnopompic hallucinations if they happen upon waking. For example, you might feel as if there is a stranger in your bedroom. These hallucinations may be vivid and frightening because you may not be fully asleep when you begin dreaming., Changes in rapid eye movement (REM) sleep. REM sleep is when most dreaming happens. Typically, people enter REM sleep 60 to 90 minutes after falling asleep. But people with narcolepsy often move more quickly to REM sleep. They tend to enter REM sleep within 15 minutes of falling asleep. REM sleep also can happen at any time of the day."
Nasal and paranasal tumors,"Difficulty breathing through your nose, Loss of the sense of smell, Nosebleeds, Discharge from your nose, Facial swelling or pain, Watery eyes, A sore or lesion on the roof of your mouth, Vision problems, A lump in your neck, Difficulty opening your mouth"
Nasal polyps,"A runny nose, Persistent stuffiness, Postnasal drip, Decreased or absent sense of smell, Loss of sense of taste, Facial pain or headache, Pain in your upper teeth, A sense of pressure over your forehead and face, Snoring, Frequent nosebleeds"
Nasopharyngeal carcinoma,"A lump in your neck caused by a swollen lymph node, Blood in your saliva, Bloody discharge from your nose, Nasal congestion or ringing in your ears, Hearing loss, Frequent ear infections, Sore throat, Headaches"
Nearsightedness,"Blurry vision when looking at distant objects, The need to squint or partially close the eyelids to see clearly, Headaches, Eyestrain"
Neck pain,"Pain that's often worsened by holding the head in one place for long periods, such as when driving or working at a computer, Muscle tightness and spasms, Decreased ability to move the head, Headache"
"Nephroblastoma, also known asWilms tumor","A mass in the stomach area that can be felt., Swelling in the stomach area., Pain in the stomach area."
Nephrogenic systemic fibrosis,"Swelling and tightening of the skin, Reddened or darkened patches on the skin, Thickening and hardening of the skin, typically on the arms and legs and sometimes on the body, but almost never on the face or head, Skin that may feel ""woody"" and develop an orange-peel appearance, Burning, itching or severe sharp pains in areas of involvement, Skin thickening that inhibits movement, resulting in loss of joint flexibility, Rarely, blisters or ulcers"
Nephrotic syndrome,"Severe swelling (edema), particularly around your eyes and in your ankles and feet, Foamy urine, a result of excess protein in your urine, Weight gain due to fluid retention, Fatigue, Loss of appetite"
"Neuralgia, postherpetic, also known asPostherpetic neuralgia","Pain that lasts three months or longer after the shingles rash has healed. The pain may feel burning, sharp and jabbing. Or it may feel deep and aching., Not being able to stand light touch. People with postherpetic neuralgia often can't bear even the touch of clothing on the affected skin., Itching or loss of feeling. Less often, postherpetic neuralgia can cause an itchy feeling or numbness."
"Neuralgia, trigeminal, also known asTrigeminal neuralgia","Episodes of severe, shooting or jabbing pain that may feel like an electric shock, Spontaneous attacks of pain or attacks triggered by things such as touching the face, chewing, speaking or brushing teeth, Attacks of pain lasting from a few seconds to several minutes, Pain that occurs with facial spasms, Bouts of multiple attacks lasting days, weeks, months or longer — some people have periods when they experience no pain, Pain in areas supplied by the trigeminal nerve, including the cheek, jaw, teeth, gums, lips, or less often the eye and forehead, Pain affecting one side of the face at a time, Pain focused in one spot or spread in a wider pattern, Pain rarely occurring at night while sleeping, Attacks that become more frequent and intense over time"
Neuroblastoma,"Abdominal pain, A mass under the skin that isn't tender when touched, Changes in bowel habits, such as diarrhea or constipation"
"Neurocardiogenic syncope, also known asVasovagal syncope","Pale skin, Lightheadedness, Tunnel vision — your field of vision narrows so that you see only what's in front of you, Nausea, Feeling warm, A cold, clammy sweat, Blurred vision"
Neurodermatitis,"An itchy, scaly skin patch or patches, Open sores that bleed, Thick, leathery skin, Discolored, wrinkled genital skin, Raised, rough patches that are inflamed or darker than the rest of the skin"
"Neuroendocrine carcinoma of the skin, also known asMerkel cell carcinoma","Excessive exposure to natural or artificial sunlight. Being exposed to ultraviolet light, such as the light that comes from the sun or from tanning beds, increases your risk of Merkel cell carcinoma. The majority of Merkel cell carcinomas appear on skin surfaces frequently exposed to sun., A weakened immune system. People with weakened immune systems — including those with HIV infection, those taking drugs that suppress the immune response or those with chronic leukemias — are more likely to develop Merkel cell carcinoma., History of other skin cancers. Merkel cell carcinoma is associated with the development of other skin cancers, such as basal cell or squamous cell carcinoma., Older age. Your risk of Merkel cell carcinoma increases as you age. This cancer is most common in people older than age 50, though it can occur at any age., Light skin color. Merkel cell carcinoma usually arises in people who have light-colored skin. Whites are much more likely to be affected by this skin cancer than are blacks."
Neuroendocrine tumors,"Pain from a growing tumor, A growing lump you can feel under the skin, Feeling unusually tired, Losing weight without trying"
Neurofibromatosis,"Flat, light brown spots on the skin (cafe au lait spots). These harmless spots are common in many people. Having more than six cafe au lait spots suggests NF1. They are usually present at birth or appear during the first years of life. After childhood, new spots stop appearing., Freckling in the armpits or groin area. Freckling usually appears by ages 3 to 5. Freckles are smaller than cafe au lait spots and tend to occur in clusters in skin folds., Tiny bumps on the iris of the eye (Lisch nodules). These harmless nodules can't easily be seen and don't affect vision., Soft, pea-sized bumps on or under the skin (neurofibromas). These benign tumors usually develop in or under the skin, but can also grow inside the body. Sometimes, a growth will involve many nerves (plexiform neurofibroma). Plexiform neurofibromas, when located on the face, can cause disfigurement. Neurofibromas may increase in number with age., Bone deformities. Abnormal bone development and a deficiency in bone mineral density can cause bone deformities such as a curved spine (scoliosis) or a bowed lower leg., Tumor on the optic nerve (optic glioma). These tumors usually appear by age 3, rarely in late childhood and adolescence, and almost never in adults., Learning disabilities. Impaired thinking skills are common in children who have NF1 but are usually mild. Often there is a specific learning disability, such as a problem with reading or mathematics. Attention-deficit/hyperactivity disorder (ADHD) and speech delay also are common., Larger than average head size. Children with NF1 tend to have a larger than average head size due to increased brain volume., Short stature. Children who have NF1 often are below average in height."
"Neurofibrosarcoma, also known asMalignant peripheral nerve sheath tumors","Pain where the tumor is growing., Weakness when trying to move the body part that has the tumor., A growing lump of tissue under the skin."
"Neuroma, acoustic, also known asAcoustic neuroma","Hearing loss, usually gradually worsening over months to years — although in rare cases sudden — and occurring on only one side or more severe on one side, Ringing (tinnitus) in the affected ear, Unsteadiness or loss of balance, Dizziness (vertigo), Facial numbness and weakness or loss of muscle movement"
"Neuroma, Morton's, also known asMorton's neuroma","A feeling as if you're standing on a pebble in your shoe, A burning pain in the ball of your foot that may radiate into your toes, Tingling or numbness in your toes"
"Neuroma, plantar, also known asMorton's neuroma","A feeling as if you're standing on a pebble in your shoe, A burning pain in the ball of your foot that may radiate into your toes, Tingling or numbness in your toes"
"Neuropathy, autonomic, also known asAutonomic neuropathy","Dizziness and fainting when standing, caused by a sudden drop in blood pressure., Urinary problems, such as difficulty starting urination, loss of bladder control, difficulty sensing a full bladder and inability to completely empty the bladder. Not being able to completely empty the bladder can lead to urinary tract infections., Sexual difficulties, including problems achieving or maintaining an erection (erectile dysfunction) or ejaculation problems. In women, problems include vaginal dryness, low libido and difficulty reaching orgasm., Difficulty digesting food, such as feeling full after a few bites of food, loss of appetite, diarrhea, constipation, abdominal bloating, nausea, vomiting, difficulty swallowing and heartburn. These problems are all due to changes in digestive function., Inability to recognize low blood sugar (hypoglycemia), because the warning signals, such as getting shaky, aren't there., Sweating problems, such as sweating too much or too little. These problems affect the ability to regulate body temperature., Sluggish pupil reaction, making it difficult to adjust from light to dark and seeing well when driving at night., Exercise intolerance, which can occur if your heart rate stays the same instead of adjusting to your activity level."
"Neuropathy, diabetic, also known asDiabetic neuropathy","Numbness or reduced ability to feel pain or temperature changes, Tingling or burning feeling, Sharp pains or cramps, Muscle weakness, Extreme sensitivity to touch — for some people, even a bedsheet's weight can be painful, Serious foot problems, such as ulcers, infections, and bone and joint damage"
"Neuropathy, hereditary motor and sensory, also known asCharcot-Marie-Tooth disease","Weakness in your legs, ankles and feet, Loss of muscle bulk in your legs and feet, High foot arches, Curled toes (hammertoes), Decreased ability to run, Difficulty lifting your foot at the ankle (footdrop), Awkward or higher than normal step (gait), Frequent tripping or falling, Decreased sensation or a loss of feeling in your legs and feet"
"Neuropathy, peripheral, also known asPeripheral neuropathy","Sensory nerves that receive sensation, such as temperature, pain, vibration or touch, from the skin, Motor nerves that control muscle movement, Autonomic nerves that control functions such as blood pressure, perspiration, heart rate, digestion and bladder function"
"Nevus, also known asMoles","Color and texture. Moles can be brown, tan, black, blue, red or pink. They can be smooth, wrinkled, flat or raised. They may have hair growing from them., Shape. Most moles are oval or round., Size. Moles are usually less than 1/4 inch (about 6 millimeters) in diameter — the size of a pencil eraser. Those present at birth (congenital nevi) can be bigger than usual, covering part of the face, torso or a limb."
Nickel allergy,"Rash or bumps on the skin, Itching, which may be severe, Redness or changes in skin color, Dry patches of skin that may resemble a burn, Blisters and draining fluid in severe cases"
"Nicotine addiction, also known asNicotine dependence","You can't stop smoking. You've made one or more serious, but unsuccessful, attempts to stop., You have withdrawal symptoms when you try to stop. Your attempts at stopping have caused physical and mood-related symptoms, such as strong cravings, anxiety, irritability, restlessness, difficulty concentrating, depressed mood, frustration, anger, increased hunger, insomnia, constipation or diarrhea., You keep smoking despite health problems. Even though you've developed health problems with your lungs or your heart, you haven't been able to stop., You give up social activities. You may stop going to smoke-free restaurants or stop socializing with family or friends because you can't smoke in these situations."
Nicotine dependence,"You can't stop smoking. You've made one or more serious, but unsuccessful, attempts to stop., You have withdrawal symptoms when you try to stop. Your attempts at stopping have caused physical and mood-related symptoms, such as strong cravings, anxiety, irritability, restlessness, difficulty concentrating, depressed mood, frustration, anger, increased hunger, insomnia, constipation or diarrhea., You keep smoking despite health problems. Even though you've developed health problems with your lungs or your heart, you haven't been able to stop., You give up social activities. You may stop going to smoke-free restaurants or stop socializing with family or friends because you can't smoke in these situations."
Niemann-Pick,"Clumsiness and difficulty walking, Excessive muscle contractions (dystonia) or eye movements, Sleep disturbances, Difficulty swallowing and eating, Recurrent pneumonia"
Nightmare disorder,"Your dream seems vivid and real and is very upsetting, often becoming more disturbing as the dream unfolds., Your dream storyline is usually related to threats to safety or survival, but it can have other disturbing themes., Your dream awakens you., You feel scared, anxious, angry, sad or disgusted as a result of your dream., You feel sweaty or have a pounding heartbeat while in bed., You can think clearly upon awakening and can recall details of your dream., Your dream causes distress that keeps you from falling back to sleep easily."
"Nighttime incontinence, also known asBed-wetting","Your child still wets the bed after age 7, Your child starts to wet the bed after a few months of being dry at night, Bed-wetting is accompanied by painful urination, unusual thirst, pink or red urine, hard stools, or snoring"
"Noctural enuresis, also known asBed-wetting","Your child still wets the bed after age 7, Your child starts to wet the bed after a few months of being dry at night, Bed-wetting is accompanied by painful urination, unusual thirst, pink or red urine, hard stools, or snoring"
"Noise-related hearing loss, also known asHearing loss","Muffling of speech and other sounds., Trouble understanding words, especially when in a crowd or a noisy place., Trouble hearing the letters of the alphabet that aren't vowels., Often asking others to speak more slowly, clearly and loudly., Needing to turn up the volume of the television or radio., Staying clear of some social settings., Being bothered by background noise., Ringing in the ears, known as tinnitus."
Nonalcoholic fatty liver disease,"Fatigue, Pain or discomfort in the upper right abdomen"
Nonallergic rhinitis,"Stuffy or runny nose., Sneezing., Mucus in the throat., Cough."
Non-Hodgkin's lymphoma,"Swollen lymph nodes in your neck, armpits or groin, Abdominal pain or swelling, Chest pain, coughing or trouble breathing, Persistent fatigue, Fever, Night sweats, Unexplained weight loss"
"Nonischemic priapism, also known asPriapism","Erection lasting more than four hours or unrelated to sexual interest or stimulation, Rigid penile shaft, but the tip of penis (glans) is soft, Progressively worsening penile pain"
"Nontropical sprue, also known asCeliac disease","Diarrhea, Fatigue, Weight loss, Bloating and gas, Abdominal pain, Nausea and vomiting, Constipation"
Noonan syndrome,"Eyes are wide-set and down-slanting with droopy lids. Irises are pale blue or green., Ears are low-set and rotated backward., Nose is depressed at the top, with a wide base and bulbous tip., Mouth has a deep groove between the nose and the mouth and wide peaks in the upper lip. The crease that runs from the edge of the nose to the corner of the mouth becomes deeply grooved with age. Teeth may be crooked, the inside roof of the mouth (palate) may be highly arched and the lower jaw may be small., Facial features may appear coarse, but appear sharper with age. The face may appear droopy and expressionless., Head may appear large with a prominent forehead and a low hairline on the back of the head., Skin may appear thin and transparent with age."
Norovirus infection,"Nausea, Vomiting, Stomach pain or cramps, Watery or loose diarrhea, Feeling ill, Low-grade fever, Muscle pain"
"Nymphomania, also known asCompulsive sexual behavior","You have recurrent and intense sexual fantasies, urges and behaviors that take up a lot of your time and feel as if they're beyond your control., You feel driven to do certain sexual behaviors, feel a release of the tension afterward, but also feel guilt or remorse., You've tried unsuccessfully to reduce or control your sexual fantasies, urges or behavior., You use compulsive sexual behavior as an escape from other problems, such as loneliness, depression, anxiety or stress., You continue to engage in sexual behaviors that have serious consequences, such as the potential for getting or giving someone else a sexually transmitted infection, the loss of important relationships, trouble at work, financial strain, or legal problems., You have trouble establishing and maintaining healthy and stable relationships."
"OAB, also known asOveractive bladder","Feel a sudden urge to urinate that's difficult to control, Experience unintentional loss of urine immediately after an urgent need to urinate (urgency incontinence), Urinate frequently, usually eight or more times in 24 hours, Wake up more than two times in the night to urinate (nocturia)"
Obesity,"Obesity care at Mayo Clinic, What is insulin resistance? A Mayo Clinic expert explains"
"Obesity, childhood, also known asChildhood obesity","Diet. Regularly eating high-calorie foods, such as fast foods, baked goods and vending machine snacks, can cause your child to gain weight. Candy and desserts also can cause weight gain, and more and more evidence points to sugary drinks, including fruit juices and sports drinks, as culprits in obesity in some people., Lack of exercise. Children who don't exercise much are more likely to gain weight because they don't burn as many calories. Too much time spent in sedentary activities, such as watching television or playing video games, also contributes to the problem. TV shows also often feature ads for unhealthy foods., Family factors. If your child comes from a family of overweight people, he or she may be more likely to put on weight. This is especially true in an environment where high-calorie foods are always available and physical activity isn't encouraged., Psychological factors. Personal, parental and family stress can increase a child's risk of obesity. Some children overeat to cope with problems or to deal with emotions, such as stress, or to fight boredom. Their parents might have similar tendencies., Socioeconomic factors. People in some communities have limited resources and limited access to supermarkets. As a result, they might buy convenience foods that don't spoil quickly, such as frozen meals, crackers and cookies. Also, people who live in lower income neighborhoods might not have access to a safe place to exercise., Certain medications. Some prescription drugs can increase the risk of developing obesity. They include prednisone, lithium, amitriptyline, paroxetine (Paxil), gabapentin (Neurontin, Gralise, Horizant) and propranolol (Inderal, Hemangeol)."
Obsessive-compulsive disorder (OCD),"Fear of contamination or dirt, Doubting and having difficulty tolerating uncertainty, Needing things orderly and symmetrical, Aggressive or horrific thoughts about losing control and harming yourself or others, Unwanted thoughts, including aggression, or sexual or religious subjects"
"Obstetric cholestasis, also known asCholestasis of pregnancy","Yellowing of the skin and whites of the eyes, called jaundice, Nausea, Loss of appetite, Oily, foul-smelling stools"
Obstructive sleep apnea,"Excessive daytime sleepiness, Loud snoring, Observed episodes of stopped breathing during sleep, Abrupt awakenings accompanied by gasping or choking, Awakening with a dry mouth or sore throat, Morning headache, Difficulty concentrating during the day, Mood changes, such as depression or irritability, High blood pressure, Decreased libido"
"Obstructive sleep apnea in children, also known asPediatric obstructive sleep apnea","Snoring., Pauses in breathing., Restless sleep., Snorting, coughing or choking., Mouth breathing., Nighttime sweating., Bed-wetting., Sleep terrors."
Occupational asthma,"Wheezing, sometimes just at night, Coughing, Shortness of breath, Chest tightness"
"OCD, also known asObsessive-compulsive disorder (OCD)","Fear of contamination or dirt, Doubting and having difficulty tolerating uncertainty, Needing things orderly and symmetrical, Aggressive or horrific thoughts about losing control and harming yourself or others, Unwanted thoughts, including aggression, or sexual or religious subjects"
"Ocular albinism, also known asAlbinism","Freckles., Moles, with or without color, which are sometimes pink., Large freckle-like spots, called solar lentigines (len-TIJ-ih-neez)., Sunburn and no ability to tan."
Ocular rosacea,"Red, burning, itchy or watering eyes, Dry eyes, Grittiness or the feeling of having a foreign body in the eye or eyes, Blurred vision, Sensitivity to light (photophobia), Dilated small blood vessels on the white part of the eye that are visible when you look in a mirror, Red, swollen eyelids, Recurrent eye or eyelid infections, such as pink eye (conjunctivitis), blepharitis, sties or chalazia"
"Oculocutaneous albinism, also known asAlbinism","Freckles., Moles, with or without color, which are sometimes pink., Large freckle-like spots, called solar lentigines (len-TIJ-ih-neez)., Sunburn and no ability to tan."
"Oculosympathetic palsy, also known asHorner syndrome","A persistently small pupil (miosis), A notable difference in pupil size between the two eyes (anisocoria), Little or delayed opening (dilation) of the affected pupil in dim light, Drooping of the upper eyelid (ptosis), Slight elevation of the lower lid, sometimes called upside-down ptosis, Sunken appearance of the affected eye, Little or no sweating (anhidrosis) on the affected side of the face"
"ODD, also known asOppositional defiant disorder (ODD)","Often and easily loses temper., Is frequently touchy and easily annoyed by others., Is often angry and resentful."
"Odontogenic tumors and cysts, also known asJaw tumors and cysts","Ameloblastoma. This rare, usually noncancerous (benign) tumor begins in the cells that form the protective enamel lining on the teeth. It develops most often in the jaw near the molars. The most common type is aggressive, forming large tumors and growing into the jawbone. Although this tumor can recur after treatment, aggressive surgical treatment will typically reduce the chance of recurrence., Central giant cell granuloma. Central giant cell granulomas are benign lesions that grow from bone cells. They most often occur in the front portion of the lower jaw. One type of these tumors can grow rapidly, cause pain and destroy bone, and has a tendency to recur after surgical treatment. The other type is less aggressive and may not have symptoms. Rarely, a tumor may shrink or resolve on its own, but typically these tumors require surgical treatment., Dentigerous cyst. This cyst originates from tissue that surrounds a tooth before it erupts into the mouth. This is the most common form of cyst that affects the jaws. Most often these cysts will occur around wisdom teeth that are not fully erupted, but they can also involve other teeth., Odontogenic keratocyst. This cyst is also referred to as a keratocystic odontogenic tumor because of its tumorlike tendency to recur after surgical treatment. Although this cyst is typically slow growing, it can still be destructive to the jaw and teeth if left untreated over a long period of time. Most often the cyst develops in the lower jaw near the third molars. These cysts may also be found in people with an inherited condition called nevoid basal cell carcinoma syndrome., Odontogenic myxoma. This is a rare, slow-growing, benign tumor that occurs most often in the lower jaw. The tumor can be large and aggressively invade the jaw and surrounding tissue and displace teeth. Odontogenic myxomas are known to recur after surgical treatment; however, the chances of tumor recurrence are typically lessened by more-aggressive forms of surgical treatment., Odontoma. This benign tumor is the most common odontogenic tumor. Odontomas often have no symptoms, but they may interfere with tooth development or eruption. Odontomas are made up of dental tissue that grows around a tooth in the jaw. They can resemble an oddly shaped tooth or can be a small or large calcified tumor. These tumors may be part of some genetic syndromes., Other types of cysts and tumors. These include adenomatoid odontogenic tumor, calcifying epithelial odontogenic tumor, glandular odontogenic cyst, squamous odontogenic tumor, calcifying odontogenic cyst, cementoblastoma, aneurysmal bone cyst, ossifying fibroma, osteoblastoma. central odontogenic fibroma and others."
"OHSS, also known asOvarian hyperstimulation syndrome","Mild to moderate abdominal pain, Abdominal bloating or increased waist size, Nausea, Vomiting, Diarrhea, Tenderness in the area of your ovaries"
"Olfactory neuroblastoma, also known asEsthesioneuroblastoma","Losing the sense of smell, Frequent nosebleeds, Difficulty breathing through the nose"
"Onychomycosis, also known asNail fungus","Thickened, Discolored, Brittle, crumbly or ragged, Misshapen, Separated from the nail bed, Smelly"
Oppositional defiant disorder (ODD),"Often and easily loses temper., Is frequently touchy and easily annoyed by others., Is often angry and resentful."
Optic neuritis,"Pain. Most people who develop optic neuritis have eye pain that's worsened by eye movement. Sometimes the pain feels like a dull ache behind the eye., Vision loss in one eye. Most people have at least some temporary reduction in vision, but the extent of loss varies. Noticeable vision loss usually develops over hours or days and improves over several weeks to months. Vision loss is permanent in some people., Visual field loss. Side vision loss can occur in any pattern, such as central vision loss or peripheral vision loss., Loss of color vision. Optic neuritis often affects color perception. You might notice that colors appear less vivid than normal., Flashing lights. Some people with optic neuritis report seeing flashing or flickering lights with eye movements."
